,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,cv
SO2_mgm3,50091.0,437.50100699417726,23.30314631485035,374.3439219035076,421.69969556250265,437.5681213183413,453.27021133516604,500.6259849941611,-0.007671358087661407,-0.15259467971395724,0.05326421183565525
Nox_mgm3,50091.0,194.16891717046158,16.53398964623159,149.43278296372694,183.03780223065107,194.1852185737944,205.4411484086005,239.04616767552463,-0.003925986306884728,-0.14750316954208165,0.08515260777664192
CO_mgm3,50091.0,260.93452450862105,97.35310760441803,-3.935389643735192,194.68735545246938,261.1493513728895,327.1025188499391,525.7252639461436,-0.008265040747615176,-0.17008905092015736,0.37309400811467386
CO2_ppm,50091.0,97844.88149591726,601.9541799719215,96206.70138954744,97434.06007213786,97843.53128510766,98252.2991938648,99479.65787645524,0.028670937174171796,-0.17373490239404088,0.006152127436497933
O2_,50091.0,6.581089212191688,0.06261766172101851,6.410129818131231,6.53827709401268,6.58098821968428,6.62370861126698,6.751855887148429,0.0068674698359783865,-0.16813179020538538,0.009514786945148412
Velocity_ms,50091.0,11.825056873702374,0.12739410680669339,11.481003503399982,11.738955261229723,11.825680455540862,11.910923099782883,12.168874857612622,-0.006520652108466782,-0.16758243695530428,0.010773234172767817
Temp_C,50091.0,94.62810383144485,4.728437122881332,81.82676065157963,91.42493770381637,94.6135222898783,97.82372240530752,107.42189945754424,0.015361678783774034,-0.1489869998501816,0.04996863438481028
Pressure_Kpa,50091.0,-0.24248296341805123,0.010554442594335137,-0.2708496049899643,-0.24955642156340185,-0.2425761731664298,-0.2353609659456935,-0.2140677825191309,0.017483313308821753,-0.13270632359664125,0.04352653252648854
Flow_rate_KNm3h,50091.0,455.04224252518554,4.935619476712067,441.69407679840265,451.7052594485182,455.0191761415317,458.37938121526184,468.3905638653773,0.0018199489843661245,-0.1467508922818319,0.010846508335847285
Opacity_,50091.0,49.69966273040786,0.005051386329031617,49.68589129684358,49.69620652532351,49.69969385522383,49.70308334431013,49.713398572790055,0.003944539686904005,-0.15267190600807723,0.00010163824162011899
Dust_mgm3,50091.0,14.482380798641751,4.531979910264298,2.111695025334376,11.381681195968877,14.455935531640378,17.561671976391878,26.83165814702638,0.02061813565954801,-0.15297914349869002,0.31293058601865625
Boiler_Eff_,50091.0,93.6740610527892,0.050680313165709256,93.53586579663698,93.63968546062017,93.67415191334509,93.70889856994229,93.81271823392548,-0.018321447562518373,-0.17685981256262417,0.0005410282483338563
Entalphy_inlet_MS_kjkg,50091.0,3503.8681473392653,2.194860435353368,3497.893365800959,3502.368973739488,3503.863244008234,3505.352712365174,3509.828320303702,0.011208400395012155,-0.16985887066314787,0.0006264106818688599
Entropi_Inlet_MS_KjKg_Deg_C,50091.0,6.6081473899996475,0.0057717609505072475,6.592541265486483,6.604233203521089,6.608149608326017,6.612027828877492,6.623719766912098,0.011312257465558537,-0.14353996477208364,0.000873431025349384
Cold_Reheat_Pressure_Mpa,50091.0,2.1912678722388237,0.011923268265023943,2.158862754979479,2.183184497335933,2.191286780093792,2.1993989922402357,2.2237207345966894,-0.00026419489027361295,-0.15972156785546465,0.005441264582974929
Cold_Reheat_Temperature_C,50091.0,318.49568854652546,0.6982524540436382,316.6198150771641,318.0267885864405,318.4952896387685,318.9647709259581,320.37174443523446,0.002659462575584223,-0.11925899293930975,0.0021923450745288137
Entalphy_Cold_Reheat_kjkg,50091.0,3061.8606938060207,1.6513213861307197,3057.3994576729165,3060.745151366843,3061.854418552304,3062.9756138294606,3066.321307523387,0.022740601012193273,-0.15013026892295045,0.0005393195678272542
Entalphy_Isentropis_Cold_Reheat_kjkg,50091.0,2956.663177428477,2.3541790974225103,2950.2832378593803,2955.0681460479836,2956.6624167515547,2958.258084840386,2963.0429930289893,0.00839971743429292,-0.14157431193345982,0.0007962283683155381
ΔP_aktual_KjKg,50091.0,442.0173688079965,2.1591334461107,436.16478400168415,440.5552638193451,442.0232715079367,443.4822503644524,447.8727301821133,0.007204820253219166,-0.15115286169519848,0.004884725348990946
ΔHP_isentropis_KjKg,50091.0,547.2017651173207,1.3226968278787485,543.609766381142,546.3024408164924,547.2055613970326,548.0975571067261,550.7902315420765,-0.012823992280591119,-0.1472312079934852,0.0024172013180461154
HP_Turbine_eff_,50091.0,80.77643049753647,0.3395019480171805,79.85215813448767,80.54663684443003,80.77744887789032,81.00962265105827,81.70410136100062,-0.02200764121889046,-0.15318051797968524,0.004202982799884116
O2_in_APH_,50091.0,4.7329286522572795,0.1317577495492873,4.376455567613641,4.644015872927639,4.733138035860103,4.8223894098036375,5.089949715117635,-0.00396137930385205,-0.13772091971060707,0.027838524353509524
